,加权利率,品种,品种2,日期,时间,最新利率
4004,2.8284,DIBO1M,0,09-26,14:00,2.8720
4005,3.0826,DIBO2M,0,09-26,14:00,3.1000
4006,3.0106,DIBO3M,0,09-26,14:00,2.8800
4007,3.0000,DIBO4M,0,09-26,14:00,3.0000
4008,3.8231,DIBO6M,0,09-26,14:00,3.8000
4009,4.2000,DIBO1Y,0,09-26,14:00,4.2000
4010,1.6195,DR001,1,09-26,14:00,1.6200
4011,2.3753,DIBO001,0,09-24,17:00,2.3600
4012,2.4496,DR007,1,09-26,14:00,2.8500
4013,2.9729,DR014,1,09-26,14:00,2.9900
4014,2.9128,DR021,1,09-26,14:00,2.8500
4015,2.9013,DR1M,1,09-26,14:00,2.9000
4016,2.9411,DR2M,1,09-26,14:00,3.0500
4017,2.7500,DR3M,1,09-26,14:00,2.7500
4018,3.4500,DR4M,1,09-26,14:00,3.4500
4019,1.6456,DIBO001,0,09-26,14:15,1.7000
4020,2.5741,DIBO007,0,09-26,14:15,2.9000
4021,3.0177,DIBO014,0,09-26,14:15,3.0000
4022,2.6220,DIBO007,0,09-24,17:00,3.2900
4023,3.1284,DIBO021,0,09-26,14:15,3.0200
4024,2.8284,DIBO1M,0,09-26,14:15,2.8720
4025,3.0826,DIBO2M,0,09-26,14:15,3.1000
4026,3.0106,DIBO3M,0,09-26,14:15,2.8800
4027,3.0000,DIBO4M,0,09-26,14:15,3.0000
4028,3.8231,DIBO6M,0,09-26,14:15,3.8000
4029,4.2000,DIBO1Y,0,09-26,14:15,4.2000
4030,1.6179,DR001,1,09-26,14:15,1.6400
4031,2.4512,DR007,1,09-26,14:15,2.5600
4032,2.9723,DR014,1,09-26,14:15,2.9700
4033,3.0367,DIBO014,0,09-24,17:00,3.3000
4034,2.9128,DR021,1,09-26,14:15,2.8500
4035,2.8906,DR1M,1,09-26,14:15,2.8000
4036,2.9411,DR2M,1,09-26,14:15,3.0500
4037,2.7500,DR3M,1,09-26,14:15,2.7500
4038,3.4500,DR4M,1,09-26,14:15,3.4500
4039,1.6456,DIBO001,0,09-26,14:30,1.6700
4040,2.5741,DIBO007,0,09-26,14:30,2.9000
4041,3.0176,DIBO014,0,09-26,14:30,2.9700
4042,3.1201,DIBO021,0,09-26,14:30,3.0000
4043,2.8284,DIBO1M,0,09-26,14:30,2.8720
4044,3.2380,DIBO021,0,09-24,17:00,3.1300
4045,3.1425,DIBO2M,0,09-26,14:30,3.4000
4046,3.0106,DIBO3M,0,09-26,14:30,2.8800
4047,3.0000,DIBO4M,0,09-26,14:30,3.0000
4048,3.8231,DIBO6M,0,09-26,14:30,3.8000
4049,4.2000,DIBO1Y,0,09-26,14:30,4.2000
4050,1.6173,DR001,1,09-26,14:30,1.6200
4051,2.4682,DR007,1,09-26,14:30,2.6500
4052,2.9706,DR014,1,09-26,14:30,2.9700
4053,2.9099,DR021,1,09-26,14:30,3.0000
4054,2.8906,DR1M,1,09-26,14:30,2.8000
4055,3.6136,DIBO1M,0,09-24,17:00,4.5500
4056,2.9411,DR2M,1,09-26,14:30,3.0500
4057,2.7500,DR3M,1,09-26,14:30,2.7500
4058,3.4500,DR4M,1,09-26,14:30,3.4500
4059,1.6455,DIBO001,0,09-26,14:45,1.6370
4060,2.5741,DIBO007,0,09-26,14:45,2.9000
4061,3.0320,DIBO014,0,09-26,14:45,2.9670
4062,3.1201,DIBO021,0,09-26,14:45,3.0000
4063,2.8284,DIBO1M,0,09-26,14:45,2.8720
4064,3.1425,DIBO2M,0,09-26,14:45,3.4000
4065,3.0106,DIBO3M,0,09-26,14:45,2.8800
4066,3.5068,DIBO2M,0,09-24,17:00,3.3000
4067,3.0000,DIBO4M,0,09-26,14:45,3.0000
4068,3.8231,DIBO6M,0,09-26,14:45,3.8000
4069,4.2000,DIBO1Y,0,09-26,14:45,4.2000
4070,1.6168,DR001,1,09-26,14:45,1.5500
4071,2.4628,DR007,1,09-26,14:45,1.6000
4072,2.9706,DR014,1,09-26,14:45,2.9000
4073,2.9076,DR021,1,09-26,14:45,2.9100
4074,2.8906,DR1M,1,09-26,14:45,2.8000
4075,2.8817,DR2M,1,09-26,14:45,2.7500
4076,2.8000,DR3M,1,09-26,14:45,3.0000
