,客户名称,2019-04-29,生效起始日,生效截至日,2019-04-30,2019-04-30变动
282,浙江稠州商业银行股份有限公司,8597706.71,20110804,20191031,8997706.71,400000.0
283,浙江稠州金融租赁有限公司,50000000.0,20171120,20180930,50000000.0,0.0
284,浙江绍兴瑞丰农村商业银行股份有限公司,227325960.8,20100915,20190930,227445960.8,120000.0
285,浙江网商银行股份有限公司,19152901.3,20181206,20191130,18243327.28,-909574.0199999996
286,浙江舟山普陀农村商业银行股份有限公司,88888888.89,20140218,20151008,88888888.89,0.0
287,浙江苍南农村合作银行,4333333.33,20100915,20151008,4333333.33,0.0
288,浙江萧山农村商业银行股份有限公司,61735796.64,20170103,20191031,69225628.86,7489832.219999999
289,浙江诸暨农村商业银行股份有限公司,22222222.22,20151028,20180930,22222222.22,0.0
290,海亮集团财务有限责任公司,0.01,20180122,20181228,0.01,0.0
291,海南银行股份有限公司,0.0,20171120,20190930,0.0,0.0
292,海口农村商业银行股份有限公司,166666666.67,20131206,20180730,166666666.67,0.0
293,海尔集团财务有限责任公司,1239155.07,20131023,20191130,5418.01,-1233737.06
294,海航集团财务有限公司,0.01,20110826,20170830,0.01,0.0
295,淮北矿业集团财务有限公司,1519007.8,20180122,20190630,78042.52,-1440965.28
296,淮南矿业集团财务有限公司,99800000.0,20140320,20190630,99800000.0,0.0
297,淮南通商农村商业银行股份有限公司,0.01,20141209,20170830,0.01,0.0
298,深圳农村商业银行股份有限公司,87678910.7,20140610,20191231,85021739.52,-2657171.180000007
299,深圳华强集团财务有限公司,55555555.56,20170830,20170830,55555555.56,0.0
300,渣打银行（中国）,332333333.33,20100914,20160930,332333333.33,0.0
301,渤海银行股份有限公司,235726542.88,20101015,20190930,254134281.61,18407738.73000002
302,温州银行股份有限公司,117437287.63,20100915,20191031,117437287.63,0.0
303,湖北十堰农村商业银行股份有限公司,96177777.78,20160411,20180630,96177777.78,0.0
304,湖北襄阳农村商业银行股份有限公司,0.01,20141118,20170830,0.01,0.0
305,湖北银行股份有限公司,817691.19,20120209,20190831,1617691.19,800000.0
306,湖南华菱钢铁集团财务有限公司,77777777.78,20160330,20160630,77777777.78,0.0
307,湖南宁乡农村商业银行股份有限公司,111111111.11,20140311,20151008,111111111.11,0.0
308,湖南浏阳农村商业银行股份有限公司,166666666.67,20141209,20150930,166666666.67,0.0
309,湖州银行股份有限公司,6700225.0,20150116,20190930,7624225.0,924000.0
310,湘潭市商业银行股份有限公司,100000000.0,20100915,20120915,100000000.0,0.0
311,漯河银行股份有限公司,111111111.11,20131104,20151230,111111111.11,0.0
312,潍坊银行股份有限公司,259055.42,20100914,20190930,10356712.46,10097657.040000001
313,潞安集团财务有限公司,222222222.22,20170307,20170930,222222222.22,0.0
314,澳大利亚新西兰银行集团有限公司（中国）,111111111.11,20140423,20151231,111111111.11,0.0
315,澳大利亚西太平洋银行(总行),111111111.11,20140418,20151231,111111111.11,0.0
316,澳新银行（总行）,111111111.11,20120305,20160120,111111111.11,0.0
317,烟台银行股份有限公司,40000.0,20121116,20200331,40000.0,0.0
318,焦作中旅银行股份有限公司,47571.0,20110706,20200229,47571.0,0.0
319,珠海农村商业银行股份有限公司,96847826.76,20131225,20190930,95511656.06,-1336170.700000003
320,珠海华发集团财务有限公司,111111111.11,20170313,20170904,111111111.11,0.0
321,珠海华润银行股份有限公司,44129097.77,20120206,20190930,1150126.56,-42978971.21
322,珠海格力财务,1.0,20100915,20151008,1.0,0.0
323,甘肃银行股份有限公司,12379681.77,20130424,20190930,16628043.29,4248361.52
324,申能集团财务有限公司,300000000.0,20160509,20190331,300000000.0,0.0
325,盘锦银行股份有限公司,100000000.0,20160104,20190930,100000000.0,0.0
326,盛京银行股份有限公司,40055819.01,20100914,20191231,75147819.01,35092000.00000001
327,石嘴山银行股份有限公司,590000.0,20140218,20191031,590000.0,0.0
328,福建七匹狼集团财务有限公司,41840000.0,20181008,20190630,42610000.0,770000.0
329,福建南安农村商业银行股份有限公司,36587860.0,20160310,20190930,36587860.0,0.0
330,福建晋江农村商业银行股份有限公司,2371440.0,20140109,20190930,2371440.0,0.0
331,福建海峡银行股份有限公司,12213936.49,20100915,20190930,31248296.66,19034360.17
332,福建省能源集团财务有限公司,92000000.0,20170830,20190930,92000000.0,0.0
333,福建石狮农村商业银行股份有限公司,34186560.0,20140109,20190930,35177460.0,990900.0
334,福建福州农村商业银行股份有限公司,55555555.56,20140408,20180630,55555555.56,0.0
335,福建莆田农村商业银行股份有限公司,98350000.0,20190109,20191231,98350000.0,0.0
336,秦皇岛银行股份有限公司,9485564.35,20131104,20190930,4485564.35,-5000000.0
337,紫金矿业集团财务有限公司,196413772.21,20170830,20191130,196413772.21,0.0
338,绍兴银行股份有限公司,251885555.56,20100915,20180523,251885555.56,0.0
