客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
民生金融租赁股份有限公司,0.01,20100915,20180830,0.01
东营银行股份有限公司,4739663.28,20100915,20191030,4739663.28
渤海银行股份有限公司,235726542.9,20101015,20190930,235726542.88
珠海华润银行股份有限公司,44129097.77,20120206,20190930,44129097.77
澳新银行（总行）,111111111.1,20120305,20160120,111111111.11
龙江银行股份有限公司,155000000.0,20130320,20180930,155000000.0
山东济南润丰农村合作银行,33333333.33,20140409,20151008,33333333.33
泸州市商业银行股份有限公司,25300000.0,20140409,20190930,25300000.0
浙江东阳农村商业银行,5431588.35,20180122,20191031,5431588.35
上海汽车集团财务有限责任公司,9839188068.0,20180122,20190930,9839188067.93
海亮集团财务有限责任公司,0.01,20180122,20181228,0.01
安徽马鞍山农村商业银行股份有限公司,13203234.5,20180122,20191130,13203234.5
淮北矿业集团财务有限公司,1519007.8,20180122,20190630,1519007.8
福建七匹狼集团财务有限公司,41840000.0,20181008,20190630,41840000.0
陕西煤业化工集团财务有限公司,10860000.0,20181008,20190930,10860000.0
招商局集团财务有限公司,200000000.0,20190130,20191130,200000000.0
晋商银行股份有限公司,44525280.39,20101122,20190930,44525280.39
洛阳银行股份有限公司,18389620.49,20101122,20191130,18389620.49
广州农村商业银行股份有限公司,22421840.28,20120511,20190930,22421840.28
遂宁银行股份有限公司,0.0,20131024,20190930,0.0
澳大利亚西太平洋银行(总行),111111111.1,20140418,20151231,111111111.11
荷兰安智银行（ING）,444444444.4,20140418,20151231,444444444.44
兵工财务有限责任公司,387730513.9,20140418,20191130,387730513.92
中德住房储蓄银行有限责任公司,20000000.0,20140418,20190531,20000000.0
三井住友银行（中国）,229222222.2,20140418,20161230,229222222.22
中山农村商业银行股份有限公司,177619784.2,20140418,20191130,177619784.22
中国电子财务有限责任公司,179305719.8,20140418,20190731,179305719.79
澳大利亚新西兰银行集团有限公司（中国）,111111111.1,20140423,20151231,111111111.11
西藏银行股份有限公司,300000000.0,20190130,20200131,300000000.0
宁波国际银行,44000000.0,20131106,20151001,44000000.0
佛山农村商业银行股份有限公司,122021013.5,20131206,20191031,122021013.49
新疆天山农村商业银行股份有限公司,525069.1,20140724,20191130,525069.1
江苏江都农村商业银行股份有限公司,3710860.74,20121116,20191130,3710860.74
德州银行股份有限公司,1.11,20121116,20151230,1.11
江南农村商业银行股份有限公司,10000000.0,20121116,20121116,10000000.0
烟台银行股份有限公司,40000.0,20121116,20200331,40000.0
泉州农村商业银行股份有限公司,0.01,20121116,20170830,0.01
开封银行股份有限公司,20000000.0,20121116,20121116,20000000.0
山东邹平农村商业银行股份有限公司,0.0,20121116,20170830,0.0
云南红塔银行股份有限公司,178510000.0,20131225,20191130,178510000.0
浙江江山农村商业银行股份有限公司,100000000.0,20131225,20160930,100000000.0
宜宾市商业银行股份有限公司,7404810.9,20131225,20190930,7404810.9
沧州银行股份有限公司,65553606.51,20131225,20190930,65553606.51
绵阳市商业银行股份有限公司,16769.77,20131225,20190831,16769.77
呼和浩特金谷农村合作银行,100000000.0,20131225,20180930,100000000.0
广东清远农村商业银行股份有限公司,0.01,20131225,20170830,0.01
攀枝花农村商业银行股份有限公司,82888888.89,20131225,20160120,82888888.89
珠海农村商业银行股份有限公司,96847826.76,20131225,20190930,96847826.76
福建福州农村商业银行股份有限公司,55555555.56,20140408,20180630,55555555.56
首钢集团财务有限公司,166856.18,20170830,20190630,166856.18
伊利财务有限公司,266666666.7,20170830,20170930,266666666.67
金川集团财务有限公司,111111111.1,20170830,20170830,111111111.11
紫金矿业集团财务有限公司,196413772.2,20170830,20191130,196413772.21
北京控股集团财务有限公司,500000.0,20170830,20190212,500000.0
天津港财务有限公司,299664000.0,20170830,20191231,299664000.0
深圳华强集团财务有限公司,55555555.56,20170830,20170830,55555555.56
郑州宇通集团财务有限公司,55555555.56,20170830,20180930,55555555.56
浙江省交通投资集团财务有限责任公司,195000000.0,20170830,20191231,195000000.0
宁波舟山港集团财务有限公司,100000.0,20170830,20181230,100000.0
